,feature,i,y_true,pred_bin,pred_prob
0,TARGET,0,0,0,0.2681062551076589
1,TARGET,1,0,0,0.26088905868947787
2,TARGET,2,0,0,0.26713205224108527
3,TARGET,3,1,0,0.252140531894457
4,TARGET,4,0,0,0.2541736798066226
5,TARGET,5,1,0,0.2721363071890679
6,TARGET,6,1,0,0.261354752829543
7,TARGET,7,1,0,0.263738289632538
8,TARGET,8,0,0,0.3075036612743027
9,TARGET,9,0,0,0.2817624438998842
10,TARGET,10,0,0,0.2757236571520291
11,TARGET,11,0,0,0.2722281242570916
12,TARGET,12,0,0,0.248878568091704
13,TARGET,13,0,0,0.27497308654524033
14,TARGET,14,1,0,0.25138691114197037
15,TARGET,15,0,0,0.27861730246869765
16,TARGET,16,0,0,0.2844248339055395
17,TARGET,17,0,0,0.2738834534252713
18,TARGET,18,0,0,0.25571162696156646
19,TARGET,19,1,0,0.2593789936821844
20,TARGET,20,0,0,0.2756224528072242
21,TARGET,21,0,0,0.2776408116098779
22,TARGET,22,0,0,0.2789451044488358
23,TARGET,23,0,0,0.25552512083670154
24,TARGET,24,0,0,0.2614642893414581
25,TARGET,25,1,0,0.27329019815419064
26,TARGET,26,1,0,0.24257614595762392
27,TARGET,27,0,0,0.25979791576026867
28,TARGET,28,1,0,0.22591550982631886
29,TARGET,29,0,0,0.2659005862192806
30,TARGET,30,0,0,0.28004329479593154
31,TARGET,31,0,0,0.27352624692230254
32,TARGET,32,0,0,0.25206366705898064
33,TARGET,33,0,0,0.2586886160812821
34,TARGET,34,0,0,0.3090994653846786
35,TARGET,35,0,0,0.2598798609235299
36,TARGET,36,1,0,0.2539698476464947
37,TARGET,37,0,0,0.2687123928804399
38,TARGET,38,0,0,0.2834688429051169
39,TARGET,39,1,0,0.2660599484125962
40,TARGET,40,0,0,0.26167198197681274
41,TARGET,41,0,0,0.2627667656929377
42,TARGET,42,0,0,0.2544290102517825
43,TARGET,43,1,0,0.26486245900618954
44,TARGET,44,0,0,0.2638505400548216
45,IMPRES,0,0,0,0.2804228254710885
46,IMPRES,1,0,0,0.2713441609662954
47,IMPRES,2,0,0,0.2713441609662954
48,IMPRES,3,1,0,0.24363976077127994
49,IMPRES,4,0,0,0.29409018126508807
50,IMPRES,5,1,0,0.2550209008928364
51,IMPRES,6,1,0,0.2523196799055151
52,IMPRES,7,1,0,0.24858858111133747
53,IMPRES,8,0,0,0.2675528606433694
54,IMPRES,9,0,0,0.2675528606433694
55,IMPRES,10,0,0,0.2713441609662954
56,IMPRES,11,0,0,0.2713441609662954
57,IMPRES,12,0,0,0.27553968225823827
58,IMPRES,13,0,0,0.2675528606433694
59,IMPRES,14,1,0,0.2523196799055151
60,IMPRES,15,0,0,0.28042282547108843
61,IMPRES,16,0,0,0.2863940716360972
62,IMPRES,17,0,0,0.2713441609662954
63,IMPRES,18,0,0,0.2804228254710885
64,IMPRES,19,1,0,0.24858858111133753
65,IMPRES,20,0,0,0.2713441609662954
66,IMPRES,21,0,0,0.2639332659018962
67,IMPRES,22,0,0,0.2713441609662953
68,IMPRES,23,0,0,0.2804228254710885
69,IMPRES,24,0,0,0.26755286064336936
70,IMPRES,25,1,0,0.24858858111133753
71,IMPRES,26,1,0,0.2523196799055151
72,IMPRES,27,0,0,0.2675528606433694
73,IMPRES,28,1,0,0.25502090089283647
74,IMPRES,29,0,0,0.2639332659018962
75,IMPRES,30,0,0,0.2639332659018962
76,IMPRES,31,0,0,0.2639332659018962
77,IMPRES,32,0,0,0.2675528606433694
78,IMPRES,33,0,0,0.27553968225823827
79,IMPRES,34,0,0,0.26025216591963224
80,IMPRES,35,0,0,0.2804228254710885
81,IMPRES,36,1,0,0.2523196799055151
82,IMPRES,37,0,0,0.2713441609662954
83,IMPRES,38,0,0,0.2675528606433694
84,IMPRES,39,1,0,0.24858858111133753
85,IMPRES,40,0,0,0.27553968225823827
86,IMPRES,41,0,0,0.2713441609662954
87,IMPRES,42,0,0,0.2804228254710885
88,IMPRES,43,1,0,0.2550209008928364
89,IMPRES,44,0,0,0.2804228254710885
90,MIRACLE,0,0,0,0.2876570549137623
91,MIRACLE,1,0,0,0.2767850823546795
92,MIRACLE,2,0,0,0.2738127707337952
93,MIRACLE,3,1,0,0.27179126921023045
94,MIRACLE,4,0,0,0.25069974986837307
95,MIRACLE,5,1,0,0.26007635045593824
96,MIRACLE,6,1,0,0.27017420223272487
97,MIRACLE,7,1,0,0.27077317649779237
98,MIRACLE,8,0,0,0.28016744758077367
99,MIRACLE,9,0,0,0.28960992836544763
100,MIRACLE,10,0,0,0.2563696273452633
101,MIRACLE,11,0,0,0.25558893069446326
102,MIRACLE,12,0,0,0.25605390036773484
103,MIRACLE,13,0,0,0.2671458191752782
104,MIRACLE,14,1,0,0.2579025559594118
105,MIRACLE,15,0,0,0.26439494948186004
106,MIRACLE,16,0,0,0.2679069817266864
107,MIRACLE,17,0,0,0.27021882251000195
108,MIRACLE,18,0,0,0.2603916627472095
109,MIRACLE,19,1,0,0.2696496879433495
110,MIRACLE,20,0,0,0.26766993936751643
111,MIRACLE,21,0,0,0.26260416606354364
112,MIRACLE,22,0,0,0.2932387616051403
113,MIRACLE,23,0,0,0.25574861332398396
114,MIRACLE,24,0,0,0.2716610227917802
115,MIRACLE,25,1,0,0.2726608316606698
116,MIRACLE,26,1,0,0.2449804333874282
117,MIRACLE,27,0,0,0.27904397075954945
118,MIRACLE,28,1,0,0.25257682916046437
119,MIRACLE,29,0,0,0.2750163358379687
120,MIRACLE,30,0,0,0.27948273992894257
121,MIRACLE,31,0,0,0.29393456023221426
122,MIRACLE,32,0,0,0.24380353947025377
123,MIRACLE,33,0,0,0.2615965815243268
124,MIRACLE,34,0,0,0.2885389030012022
125,MIRACLE,35,0,0,0.27952540329856346
126,MIRACLE,36,1,0,0.24166285607407237
127,MIRACLE,37,0,0,0.2614101571778213
128,MIRACLE,38,0,0,0.29515344555670975
129,MIRACLE,39,1,0,0.26633524819122295
130,MIRACLE,40,0,0,0.2691391303491171
131,MIRACLE,41,0,0,0.22491325933363515
